column 1,column 2
977,6.03e-10
978,6.03e-10
979,6.03e-10
980,6.03e-10
981,6.04e-10
982,6.04e-10
983,6.04e-10
984,6.04e-10
985,6.04e-10
986,6.04e-10
987,6.04e-10
988,6.04e-10
989,6.05e-10
990,6.05e-10
991,6.05e-10
992,6.05e-10
993,6.05e-10
994,6.05e-10
995,6.05e-10
996,6.06e-10
997,6.06e-10
998,6.06e-10
999,6.06e-10
1000,6.06e-10
1001,6.06e-10
1002,6.06e-10
1003,6.07e-10
1004,6.07e-10
1005,6.07e-10
1006,6.07e-10
1007,6.07e-10
1008,6.07e-10
1009,6.07e-10
1010,6.08e-10
1011,6.08e-10
1012,6.08e-10
1013,6.08e-10
1014,6.08e-10
1015,6.08e-10
1016,6.08e-10
1017,6.08e-10
1018,6.09e-10
1019,6.09e-10
1020,6.09e-10
1021,6.09e-10
1022,6.09e-10
1023,6.09e-10
1024,6.09e-10
1025,6.10e-10
1026,6.10e-10
1027,6.10e-10
1028,6.10e-10
1029,6.10e-10
1030,6.10e-10
1031,6.10e-10
1032,6.10e-10
1033,6.11e-10
1034,6.11e-10
1035,6.11e-10
1036,6.11e-10
1037,6.11e-10
1038,6.11e-10
1039,6.11e-10
1040,6.11e-10
1041,6.12e-10
1042,6.12e-10
1043,6.12e-10
1044,6.12e-10
1045,6.12e-10
1046,6.12e-10
1047,6.12e-10
1048,6.13e-10
1049,6.13e-10
1050,6.13e-10
1051,6.13e-10
1052,6.13e-10
1053,6.13e-10
1054,6.13e-10
1055,6.13e-10
1056,6.14e-10
1057,6.14e-10
1058,6.14e-10
1059,6.14e-10
1060,6.14e-10
1061,6.14e-10
1062,6.14e-10
1063,6.14e-10
1064,6.15e-10
1065,6.15e-10
1066,6.15e-10
1067,6.15e-10
1068,6.15e-10
1069,6.15e-10
1070,6.15e-10
1071,6.15e-10
1072,6.15e-10
1073,6.16e-10
1074,6.16e-10
1075,6.16e-10
1076,6.16e-10
1077,6.16e-10
1078,6.16e-10
1079,6.16e-10
1080,6.16e-10
1081,6.17e-10
1082,6.17e-10
1083,6.17e-10
1084,6.17e-10
1085,6.17e-10
1086,6.17e-10
1087,6.17e-10
1088,6.17e-10
1089,6.18e-10
1090,6.18e-10
1091,6.18e-10
1092,6.18e-10
1093,6.18e-10
1094,6.18e-10
1095,6.18e-10
1096,6.18e-10
1097,6.18e-10
1098,6.19e-10
1099,6.19e-10
1100,6.19e-10
1101,6.19e-10
1102,6.19e-10
1103,6.19e-10
1104,6.19e-10
1105,6.19e-10
1106,6.19e-10
1107,6.20e-10
1108,6.20e-10
1109,6.20e-10
1110,6.20e-10
1111,6.20e-10
1112,6.20e-10
1113,6.20e-10
1114,6.20e-10
1115,6.21e-10
1116,6.21e-10
1117,6.21e-10
1118,6.21e-10
1119,6.21e-10
1120,6.21e-10
1121,6.21e-10
1122,6.21e-10
1123,6.21e-10
1124,6.22e-10
1125,6.22e-10
1126,6.22e-10
1127,6.22e-10
1128,6.22e-10
1129,6.22e-10
1130,6.22e-10
1131,6.22e-10
1132,6.22e-10
1133,6.23e-10
1134,6.23e-10
1135,6.23e-10
1136,6.23e-10
1137,6.23e-10
1138,6.23e-10
1139,6.23e-10
1140,6.23e-10
1141,6.23e-10
1142,6.24e-10
1143,6.24e-10
1144,6.24e-10
1145,6.24e-10
1146,6.24e-10
1147,6.24e-10
1148,6.24e-10
1149,6.24e-10
1150,6.24e-10
1151,6.24e-10
1152,6.25e-10
1153,6.25e-10
1154,6.25e-10
1155,6.25e-10
1156,6.25e-10
1157,6.25e-10
1158,6.25e-10
1159,6.25e-10
1160,6.25e-10
1161,6.26e-10
1162,6.26e-10
1163,6.26e-10
1164,6.26e-10
1165,6.26e-10
1166,6.26e-10
1167,6.26e-10
1168,6.26e-10
1169,6.26e-10
1170,6.26e-10
1171,6.27e-10
1172,6.27e-10
1173,6.27e-10
1174,6.27e-10
1175,6.27e-10
1176,6.27e-10
1177,6.27e-10
1178,6.27e-10
1179,6.27e-10
1180,6.28e-10
1181,6.28e-10
1182,6.28e-10
1183,6.28e-10
1184,6.28e-10
1185,6.28e-10
1186,6.28e-10
1187,6.28e-10
1188,6.28e-10
1189,6.28e-10
1190,6.29e-10
1191,6.29e-10
1192,6.29e-10
1193,6.29e-10
1194,6.29e-10
1195,6.29e-10
1196,6.29e-10
1197,6.29e-10
1198,6.29e-10
1199,6.29e-10
1200,6.30e-10
1201,6.30e-10
1202,6.30e-10
1203,6.30e-10
1204,6.30e-10
1205,6.30e-10
1206,6.30e-10
1207,6.30e-10
1208,6.30e-10
1209,6.30e-10
1210,6.30e-10
1211,6.31e-10
1212,6.31e-10
1213,6.31e-10
1214,6.31e-10
1215,6.31e-10
1216,6.31e-10
1217,6.31e-10
1218,6.31e-10
1219,6.31e-10
1220,6.31e-10
1221,6.32e-10
1222,6.32e-10
1223,6.32e-10
1224,6.32e-10
1225,6.32e-10
1226,6.32e-10
1227,6.32e-10
1228,6.32e-10
1229,6.32e-10
1230,6.32e-10
1231,6.33e-10
1232,6.33e-10
1233,6.33e-10
1234,6.33e-10
1235,6.33e-10
1236,6.33e-10
1237,6.33e-10
1238,6.33e-10
1239,6.33e-10
1240,6.33e-10
1241,6.33e-10
1242,6.34e-10
1243,6.34e-10
1244,6.34e-10
1245,6.34e-10
1246,6.34e-10
1247,6.34e-10
1248,6.34e-10
1249,6.34e-10
1250,6.34e-10
1251,6.34e-10
1252,6.34e-10
1253,6.35e-10
1254,6.35e-10
1255,6.35e-10
1256,6.35e-10
1257,6.35e-10
1258,6.35e-10
1259,6.35e-10
1260,6.35e-10
1261,6.35e-10
1262,6.35e-10
1263,6.35e-10
1264,6.36e-10
1265,6.36e-10
1266,6.36e-10
1267,6.36e-10
1268,6.36e-10
1269,6.36e-10
1270,6.36e-10
1271,6.36e-10
1272,6.36e-10
1273,6.36e-10
1274,6.36e-10
1275,6.37e-10
1276,6.37e-10
1277,6.37e-10
1278,6.37e-10
1279,6.37e-10
